series,genre,date_published,rate,award,english_lan
0,Thriller,2014.0,4.46,0,0
0,Fiction,2007.0,4.12,3,1
0,Historical,2007.0,4.16,0,1
0,Fiction,2006.0,4.08,3,1
0,Nonfiction,2006.0,4.15,3,1
0,Historical,2006.0,4.15,5,1
0,Nonfiction,2007.0,3.94,0,1
0,Fiction,2006.0,3.91,5,1
0,Fiction,2008.0,3.75,5,1
0,Young Adult,2006.0,4.0,5,1
0,Fiction,2011.0,4.29,5,1
0,Other,2004.0,4.07,2,1
1,Fiction,2006.0,3.83,5,1
0,Fiction,2008.0,3.62,6,1
0,Fiction,2002.0,3.91,2,1
0,History,2001.0,4.04,5,1
1,Science Fiction,2011.0,4.24,5,1
0,Fiction,2005.0,3.66,0,1
1,Fantasy,2006.0,4.01,5,1
0,Nonfiction,2007.0,3.88,2,1
0,Historical,2008.0,4.0,5,1
0,Nonfiction,2006.0,3.84,0,1
0,Nonfiction,2007.0,3.93,1,1
1,Young Adult,2012.0,4.0,2,1
1,Other,2014.0,4.29,0,1
1,Young Adult,2010.0,3.72,0,1
0,Fiction,2012.0,3.79,5,1
0,Thriller,2016.0,4.2,0,1
1,Fiction,2007.0,3.83,1,1
0,Fiction,2008.0,4.17,1,1
0,Other,2019.0,4.12,1,1
1,Fantasy,2005.0,4.09,4,1
0,Nonfiction,2015.0,4.37,5,1
0,Sequential Art,2007.0,4.05,4,1
1,Womens Fiction,2004.0,3.86,0,1
1,Other,2015.0,4.1,0,1
1,Young Adult,2013.0,4.02,5,1
1,Fantasy,2014.0,4.44,1,1
1,Fantasy,2008.0,4.47,0,1
1,Fantasy,2012.0,3.97,5,1
0,History,2006.0,3.85,0,1
1,Fiction,2007.0,4.02,0,1
1,Fantasy,2011.0,3.99,0,1
0,Historical,2016.0,4.04,5,1
1,Fantasy,2009.0,3.53,3,1
1,Fiction,2014.0,4.2,0,1
0,Young Adult,2007.0,4.08,2,1
1,Young Adult,2012.0,4.14,1,1
0,Fiction,2005.0,3.44,1,1
0,Mystery,2007.0,4.02,0,1
0,Fiction,2013.0,3.72,5,1
1,Romance,2011.0,4.06,1,1
